Compagnie,Heure_du_départ,Heure_arrivée,Prix,Durée,aéroport,jour_du_vol
"Air France, ITA",8:30 AM,5:05 PM,"€1,432",9 hr 35 min,CDGParis Charles de Gaulle Airport,2024-09-15
"Air France, ITA",11:35 AM,5:05 PM,"€1,432",6 hr 30 min,CDGParis Charles de Gaulle Airport,2024-09-15
Transavia,8:20 PM,9:50 PM,€75,2 hr 30 min,ORYParis-Orly Airport,2024-09-17
Transavia,4:15 PM,5:45 PM,€88,2 hr 30 min,ORYParis-Orly Airport,2024-09-17
Nouvelair Tunisie,9:50 PM,11:20 PM,€94,2 hr 30 min,CDGParis Charles de Gaulle Airport,2024-09-17
Tunisair,8:30 PM,9:55 PM,€103,2 hr 25 min,ORYParis-Orly Airport,2024-09-17
Transavia,6:25 AM,7:55 AM,€101,2 hr 30 min,ORYParis-Orly Airport,2024-09-17
Transavia,10:15 AM,11:45 AM,€101,2 hr 30 min,ORYParis-Orly Airport,2024-09-17
Nouvelair Tunisie,11:35 AM,1:05 PM,€103,2 hr 30 min,CDGParis Charles de Gaulle Airport,2024-09-17
Tunisair,10:00 PM,11:25 PM,€103,2 hr 25 min,ORYParis-Orly Airport,2024-09-17
Tunisair,3:00 PM,4:25 PM,€137,2 hr 25 min,ORYParis-Orly Airport,2024-09-17
ITA,6:10 AM,5:05 PM,€166,11 hr 55 min,CDGParis Charles de Gaulle Airport,2024-09-17
Air FranceOperated by Amelia,4:20 PM,5:45 PM,€172,2 hr 25 min,CDGParis Charles de Gaulle Airport,2024-09-17
Air France,9:20 PM,10:45 PM,€172,2 hr 25 min,CDGParis Charles de Gaulle Airport,2024-09-17
Air France,9:15 AM,10:40 AM,€193,2 hr 25 min,CDGParis Charles de Gaulle Airport,2024-09-17
Lufthansa,6:45 AM,10:50 AM,€195,5 hr 5 min,CDGParis Charles de Gaulle Airport,2024-09-17
Lufthansa,6:05 AM,3:50 PM,€202,10 hr 45 min,CDGParis Charles de Gaulle Airport,2024-09-17
Lufthansa,7:25 AM,3:50 PM,€202,9 hr 25 min,CDGParis Charles de Gaulle Airport,2024-09-17
Lufthansa,9:45 AM,3:50 PM,€202,7 hr 5 min,CDGParis Charles de Gaulle Airport,2024-09-17
Lufthansa,9:45 AM,11:10 PM,€202,14 hr 25 min,CDGParis Charles de Gaulle Airport,2024-09-17
Lufthansa,11:30 AM,3:50 PM,€202,5 hr 20 min,CDGParis Charles de Gaulle Airport,2024-09-17
Lufthansa,11:30 AM,11:10 PM,€202,12 hr 40 min,CDGParis Charles de Gaulle Airport,2024-09-17
Lufthansa,2:30 PM,11:10 PM,€202,9 hr 40 min,CDGParis Charles de Gaulle Airport,2024-09-17
Lufthansa,6:35 PM,11:10 PM,€202,5 hr 35 min,CDGParis Charles de Gaulle Airport,2024-09-17
Lufthansa,7:35 PM,11:10 PM,€202,4 hr 35 min,CDGParis Charles de Gaulle Airport,2024-09-17
Lufthansa,6:05 AM,11:10 PM,€217,18 hr 5 min,CDGParis Charles de Gaulle Airport,2024-09-17
Lufthansa,7:25 AM,11:10 PM,€217,16 hr 45 min,CDGParis Charles de Gaulle Airport,2024-09-17
"Tunisair, Tunisair Express",11:45 AM,5:10 PM,€221,6 hr 25 min,ORYParis-Orly Airport,2024-09-17
"Tunisair, Tunisair Express",11:45 AM,5:45 PM,€221,7 hr,ORYParis-Orly Airport,2024-09-17
