Compagnie,Heure_du_départ,Heure_arrivée,Prix,Durée,aéroport,jour_du_vol,Compagnie_code,weekend_verif
LUFTHANSA,11:30 AM,11:10 PM,564.0,12 hr 40 min,CDGParis Charles de Gaulle Airport,2024-09-08,7,True
TURKISH AIRLINES,2:10 PM,10:40 PM,564.0,9 hr 30 min,CDGParis Charles de Gaulle Airport,2024-09-20,16,False
TURKISH AIRLINES,7:20 AM,10:40 PM,564.0,16 hr 20 min,CDGParis Charles de Gaulle Airport,2024-09-20,16,False
TURKISH AIRLINES,4:05 PM,10:40 PM,564.0,7 hr 35 min,CDGParis Charles de Gaulle Airport,2024-09-20,16,False
TURKISH AIRLINES,7:50 PM,4:15 PM+1,564.0,21 hr 25 min,CDGParis Charles de Gaulle Airport,2024-09-26,16,False
ITA,7:20 PM,5:00 PM+1,567.0,22 hr 40 min,ORYParis-Orly Airport,2024-09-08,6,True
ITA,9:30 PM,5:00 PM+1,568.0,20 hr 30 min,CDGParis Charles de Gaulle Airport,2024-09-08,6,True
ITA,7:05 PM,5:00 PM+1,568.0,22 hr 55 min,CDGParis Charles de Gaulle Airport,2024-09-08,6,True
LUFTHANSA,6:30 PM,10:45 AM+1,575.0,17 hr 15 min,CDGParis Charles de Gaulle Airport,2024-09-26,7,False
LUFTHANSA,2:30 PM,10:50 AM+1,575.0,21 hr 20 min,CDGParis Charles de Gaulle Airport,2024-09-28,7,True
LUFTHANSA,10:35 AM,10:50 AM+1,575.0,25 hr 15 min,CDGParis Charles de Gaulle Airport,2024-09-21,7,True
LUFTHANSA,9:55 AM,10:50 AM+1,575.0,25 hr 55 min,CDGParis Charles de Gaulle Airport,2024-09-15,7,True
LUFTHANSA,10:30 AM,10:50 AM+1,575.0,25 hr 20 min,CDGParis Charles de Gaulle Airport,2024-09-15,7,True
LUFTHANSA,11:30 AM,10:50 AM+1,575.0,24 hr 20 min,CDGParis Charles de Gaulle Airport,2024-09-15,7,True
ROYAL AIR MAROC,9:40 PM,4:55 PM+1,583.0,20 hr 15 min,ORYParis-Orly Airport,2024-09-04,10,False
ROYAL AIR MAROC,7:15 PM,4:55 PM+1,583.0,22 hr 40 min,ORYParis-Orly Airport,2024-09-04,10,False
ROYAL AIR MAROC,1:15 PM,4:55 PM+1,583.0,28 hr 40 min,ORYParis-Orly Airport,2024-09-04,10,False
TURKISH AIRLINES,2:10 PM,9:05 AM+1,586.0,19 hr 55 min,CDGParis Charles de Gaulle Airport,2024-09-14,16,True
ROYAL AIR MAROC,6:30 PM,4:55 PM+1,586.0,23 hr 25 min,CDGParis Charles de Gaulle Airport,2024-09-04,10,False
ITA,4:50 PM,9:35 AM+1,590.0,17 hr 45 min,CDGParis Charles de Gaulle Airport,2024-09-15,6,True
TURKISH AIRLINES,2:10 PM,10:40 PM,602.0,9 hr 30 min,CDGParis Charles de Gaulle Airport,2024-09-04,16,False
TURKISH AIRLINES,11:15 AM,10:40 PM,602.0,12 hr 25 min,CDGParis Charles de Gaulle Airport,2024-09-04,16,False
TURKISH AIRLINES,7:20 AM,10:40 PM,602.0,16 hr 20 min,CDGParis Charles de Gaulle Airport,2024-09-04,16,False
TURKISH AIRLINES,7:20 AM,4:15 PM,602.0,9 hr 55 min,CDGParis Charles de Gaulle Airport,2024-09-04,16,False
TURKISH AIRLINES,4:05 PM,10:40 PM,602.0,7 hr 35 min,CDGParis Charles de Gaulle Airport,2024-09-04,16,False
"LUFTHANSA, ITA",8:10 AM,5:05 PM,603.0,9 hr 55 min,CDGParis Charles de Gaulle Airport,2024-09-08,8,True
"LUFTHANSA, ITA",9:00 AM,5:05 PM,603.0,9 hr 5 min,CDGParis Charles de Gaulle Airport,2024-09-10,8,False
"SWISS, LUFTHANSA",8:10 PM,10:50 AM+1,603.0,15 hr 40 min,CDGParis Charles de Gaulle Airport,2024-09-28,13,True
"AUSTRIAN, ITA",3:55 PM,9:35 AM+1,607.0,18 hr 40 min,CDGParis Charles de Gaulle Airport,2024-09-28,4,True
TURKISH AIRLINES,11:05 AM,10:40 PM,613.0,12 hr 35 min,CDGParis Charles de Gaulle Airport,2024-09-28,16,True
LUFTHANSA,6:10 PM,10:45 AM+1,622.0,17 hr 35 min,CDGParis Charles de Gaulle Airport,2024-09-26,7,False
TURKISH AIRLINES,11:05 AM,10:40 PM,623.0,12 hr 35 min,CDGParis Charles de Gaulle Airport,2024-09-20,16,False
TURKISH AIRLINES,2:10 PM,9:05 AM+1,623.0,19 hr 55 min,CDGParis Charles de Gaulle Airport,2024-09-26,16,False
TURKISH AIRLINES,4:05 PM,9:05 AM+1,623.0,18 hr,CDGParis Charles de Gaulle Airport,2024-09-26,16,False
LUFTHANSA,2:25 PM,11:10 PM,626.0,9 hr 45 min,CDGParis Charles de Gaulle Airport,2024-09-28,7,True
LUFTHANSA,12:10 PM,11:10 PM,626.0,12 hr,CDGParis Charles de Gaulle Airport,2024-09-22,7,True
LUFTHANSA,12:10 PM,11:10 PM,626.0,12 hr,CDGParis Charles de Gaulle Airport,2024-09-21,7,True
